courseCode,courseName
CS 1100,Freshman Leap Seminar
CS 1171,Computing in MATLAB
CS 1301,Intro to Computing
CS 1315,Intro Media Computation
CS 1316,Rep Structure & Behavior
CS 1331,Intro-Object Orient Prog
CS 1332,Data Struct & Algorithms
CS 1371,Computing for Engineers
CS 1372,Program Design for Engrs
CS 1801,Special Topics
CS 1802,Special Topics
CS 1803,Special Topics
CS 1804,Special Topics
CS 1805,Special Topics
CS 1XXX,Computer Sci Elective
CS 2050,Intro Discrete Math CS
CS 2051,Honors Discrete Math CS
CS 2110,Computer Organiz&Program
CS 2200,Systems and Networks
CS 2261,Media Device Architectur
CS 2316,Data Input/Manipulation
CS 2335,Software Practicum
CS 2340,Objects and Design
CS 2345,Adv Practical O-O Prog
CS 2600,Knowledge Rep & Process
CS 2698,Research Assistantship
CS 2699,Undergraduate Research
CS 2701,Startup Lab
CS 2801,Special Topics
CS 2802,Special Topics
CS 2803,Special Topics
CS 2804,Special Topics
CS 2805,Special Topics
CS 2XXX,Computer Sci Elective
CS 3101,Comp Sci Ventures
CS 3210,Design-Operating Systems
CS 3220,Processor Design
CS 3240,Languages and Computation
CS 3251,Computer Networking I
CS 3300,Intro to Software Engr
CS 3311,Project Design
CS 3312,Project Implementation
CS 3451,Computer Graphics
CS 3510,Dsgn&Analysis-Algorithms
CS 3511,Algorithms Honors
CS 3600,Intro-Artificial Intell
CS 3630,Intro-Perception&Robotic
CS 3651,Prototyping Intell Appl
CS 3743,Emerging Technologies
CS 3750,User Interface Design
CS 3790,Intro-Cognitive Science
CS 3801,Special Topics
CS 3802,Special Topics
CS 3803,Special Topics
CS 3804,Special Topics
CS 3805,Special Topics
CS 3XXX,Computer Sci
CS 4001,Computing & Society
CS 4002,Robots and Society
CS 4005,Next Gen Computing Tech
CS 4010,Intro to Computer Law
CS 4052,Systems Analysis& Design
CS 4057,Bus Process Analy&Design
CS 4210,Adv Operating Systems
CS 4220,Embedded Systems
CS 4233,Parallel Comp Arch
CS 4235,Intro to Info Security
CS 4237,Comp & Network Security
CS 4240,Compilers & Interpreters
CS 4245,Intro Data Mining & Anal
CS 4251,Computer Networking II
CS 4255,Intro-Network Management
CS 4260,Telecommunications Sys
CS 4261,Mobile Apps & Svcs
CS 4270,Data Communications Lab
CS 4280,Survey-Telecom & the Law
CS 4290,Advanced Computer Org
CS 4320,Software Processes
CS 4330,Software Applications
CS 4342,Software Generation
CS 4365,Intro Enterprise Comp
CS 4392,Programming Languages
CS 4400,Intr to Database Systems
CS 4420,Database Sys Implement
CS 4432,Information Systems Dsgn
CS 4440,Database Technologies
CS 4452,Human-Centered Computing
